time,temperature,resistance
2024-04-29 16:35:09.590364,32.32,101.114
2024-04-29 16:35:09.992398,32.31,101.112
2024-04-29 16:35:10.397689,32.3,101.112
2024-04-29 16:35:10.802726,32.31,101.109
2024-04-29 16:35:11.106713,32.33,101.112
2024-04-29 16:35:11.512291,32.34,101.114
2024-04-29 16:35:11.916823,32.36,101.114
2024-04-29 16:35:12.220245,32.36,101.118
2024-04-29 16:35:12.621922,32.38,101.122
2024-04-29 16:35:13.026953,32.39,101.126
2024-04-29 16:35:13.432422,32.38,101.127
2024-04-29 16:35:13.735756,32.38,101.13
2024-04-29 16:35:14.141270,32.38,101.133
2024-04-29 16:35:14.546506,32.37,101.136
2024-04-29 16:35:14.849587,32.37,101.135
2024-04-29 16:35:15.255322,32.36,101.138
2024-04-29 16:35:15.656345,32.35,101.138
2024-04-29 16:35:15.959333,32.35,101.14
2024-04-29 16:35:16.364736,32.34,101.136
2024-04-29 16:35:16.770182,32.33,101.134
2024-04-29 16:35:17.176101,32.33,101.137
2024-04-29 16:35:17.479188,32.32,101.137
2024-04-29 16:35:17.884259,32.31,101.136
2024-04-29 16:35:18.285789,32.3,101.136
2024-04-29 16:35:18.592829,32.28,101.136
2024-04-29 16:35:18.994679,32.28,101.134
2024-04-29 16:35:19.400141,32.27,101.136
2024-04-29 16:35:19.805899,32.26,101.135
2024-04-29 16:35:20.109043,32.25,101.132
2024-04-29 16:35:20.514426,32.24,101.131
2024-04-29 16:35:20.919399,32.23,101.131
2024-04-29 16:35:21.222523,32.22,101.131
2024-04-29 16:35:21.624114,32.21,101.131
2024-04-29 16:35:22.030848,32.2,101.132
2024-04-29 16:35:22.435321,32.19,101.131
2024-04-29 16:35:22.738359,32.18,101.127
2024-04-29 16:35:23.143277,32.17,101.129
2024-04-29 16:35:23.549637,32.16,101.127
2024-04-29 16:35:23.852633,32.15,101.127
2024-04-29 16:35:24.257893,32.14,101.129
2024-04-29 16:35:24.659283,32.13,101.129
2024-04-29 16:35:24.962291,32.13,101.124
2024-04-29 16:35:25.367990,32.12,101.123
2024-04-29 16:35:25.773649,32.11,101.125
2024-04-29 16:35:26.179283,32.1,101.124
2024-04-29 16:35:26.481883,32.09,101.122
2024-04-29 16:35:26.887086,32.09,101.122
2024-04-29 16:35:27.288600,32.08,101.119
2024-04-29 16:35:27.595841,32.07,101.121
2024-04-29 16:35:27.997312,32.07,101.121
2024-04-29 16:35:28.402974,32.06,101.12
2024-04-29 16:35:28.809086,32.05,101.118
2024-04-29 16:35:29.111231,32.04,101.119
2024-04-29 16:35:29.516489,32.04,101.117
2024-04-29 16:35:29.918191,32.03,101.12
2024-04-29 16:35:30.225113,32.03,101.119
2024-04-29 16:35:30.627100,32.03,101.118
2024-04-29 16:35:31.032067,32.03,101.117
2024-04-29 16:35:31.335283,32.03,101.12
2024-04-29 16:35:31.740995,32.03,101.119
2024-04-29 16:35:32.146468,32.03,101.12
2024-04-29 16:35:32.551213,32.03,101.121
2024-04-29 16:35:32.854936,32.02,101.121
2024-04-29 16:35:33.256753,32.02,101.122
2024-04-29 16:35:33.663181,32.03,101.122
2024-04-29 16:35:33.964792,32.02,101.123
2024-04-29 16:35:34.370616,32.02,101.125
2024-04-29 16:35:34.775457,32.02,101.125
2024-04-29 16:35:35.181045,32.03,101.124
2024-04-29 16:35:35.484499,32.03,101.127
2024-04-29 16:35:35.885942,32.02,101.124
2024-04-29 16:35:36.291676,32.02,101.126
2024-04-29 16:35:36.593982,32.02,101.126
2024-04-29 16:35:37.000385,32.03,101.125
2024-04-29 16:35:37.405553,32.03,101.125
2024-04-29 16:35:37.707703,32.02,101.126
2024-04-29 16:35:38.113493,32.03,101.125
2024-04-29 16:35:38.514898,32.02,101.123
2024-04-29 16:35:38.920728,32.02,101.122
2024-04-29 16:35:39.223820,32.02,101.125
2024-04-29 16:35:39.629622,32.02,101.126
2024-04-29 16:35:40.035546,32.02,101.126
2024-04-29 16:35:40.337732,32.02,101.125
2024-04-29 16:35:40.743047,32.01,101.124
2024-04-29 16:35:41.148759,32.01,101.127
2024-04-29 16:35:41.550421,32.01,101.127
2024-04-29 16:35:41.852875,32.01,101.127
2024-04-29 16:35:42.259165,32.01,101.127
2024-04-29 16:35:42.664522,32.01,101.128
2024-04-29 16:35:42.966861,32.01,101.127
2024-04-29 16:35:43.372325,32.01,101.128
2024-04-29 16:35:43.777824,32.0,101.128
2024-04-29 16:35:44.179251,32.0,101.126
2024-04-29 16:35:44.482473,32.0,101.125
2024-04-29 16:35:44.888640,32.0,101.127
2024-04-29 16:35:45.293727,32.0,101.127
2024-04-29 16:35:45.596925,32.0,101.126
2024-04-29 16:35:46.001845,32.0,101.125
2024-04-29 16:35:46.407954,32.0,101.125
2024-04-29 16:35:46.710706,2.0,101.125
2024-04-29 16:35:47.112223,32.0,101.124
2024-04-29 16:35:47.518014,32.0,101.125
2024-04-29 16:35:47.923385,32.0,101.123
2024-04-29 16:35:48.225878,32.0,101.123
2024-04-29 16:35:48.632118,32.01,101.122
2024-04-29 16:35:49.036818,32.0,101.122
2024-04-29 16:35:49.339944,32.0,101.123
2024-04-29 16:35:49.742295,32.0,101.123
