time,temperature,resistance
2024-04-29 16:27:26.511229,33.03,101.293
2024-04-29 16:27:26.916494,33.01,101.289
2024-04-29 16:27:27.219640,33.03,101.291
2024-04-29 16:27:27.625121,33.06,101.292
2024-04-29 16:27:28.030543,33.13,101.297
2024-04-29 16:27:28.432274,33.19,101.302
2024-04-29 16:27:28.739219,33.28,101.31
2024-04-29 16:27:29.140553,33.37,101.317
2024-04-29 16:27:29.546941,33.46,101.325
2024-04-29 16:27:29.849116,33.53,101.334
2024-04-29 16:27:30.254826,33.62,101.346
2024-04-29 16:27:30.660072,33.73,101.357
2024-04-29 16:27:31.065546,33.84,101.369
2024-04-29 16:27:31.368926,33.91,101.381
2024-04-29 16:27:31.770246,34.02,101.394
2024-04-29 16:27:32.175933,34.13,101.406
2024-04-29 16:27:32.478810,34.2,101.422
2024-04-29 16:27:32.885057,34.33,101.437
2024-04-29 16:27:33.290012,34.44,101.451
2024-04-29 16:27:33.593173,34.53,101.468
2024-04-29 16:27:33.998394,34.65,101.481
2024-04-29 16:27:34.404106,34.78,101.497
2024-04-29 16:27:34.805872,34.9,101.51
2024-04-29 16:27:35.108192,34.99,101.529
2024-04-29 16:27:35.514374,35.12,101.548
2024-04-29 16:27:35.919801,35.25,101.565
2024-04-29 16:27:36.222236,35.33,101.577
2024-04-29 16:27:36.628223,35.47,101.598
2024-04-29 16:27:37.033190,35.61,101.615
2024-04-29 16:27:37.438562,35.74,101.635
2024-04-29 16:27:37.742314,35.88,101.652
2024-04-29 16:27:38.143135,35.97,101.668
2024-04-29 16:27:38.549478,36.1,101.687
2024-04-29 16:27:38.851946,36.25,101.706
2024-04-29 16:27:39.257884,36.38,101.726
2024-04-29 16:27:39.663370,36.52,101.747
2024-04-29 16:27:39.965612,36.61,101.764
2024-04-29 16:27:40.371760,36.76,101.788
2024-04-29 16:27:40.777603,36.89,101.806
2024-04-29 16:27:41.178239,37.04,101.825
2024-04-29 16:27:41.481227,37.12,101.843
2024-04-29 16:27:41.886890,37.27,101.865
2024-04-29 16:27:42.292116,37.41,101.884
2024-04-29 16:27:42.595660,37.5,101.909
2024-04-29 16:27:43.001594,37.64,101.928
2024-04-29 16:27:43.406792,37.77,101.949
2024-04-29 16:27:43.808267,37.9,101.97
2024-04-29 16:27:44.115114,37.97,101.991
2024-04-29 16:27:44.517002,38.06,102.007
2024-04-29 16:27:44.921832,38.15,102.024
2024-04-29 16:27:45.225255,38.19,102.039
2024-04-29 16:27:45.630814,38.25,102.05
2024-04-29 16:27:46.035766,38.3,102.059
2024-04-29 16:27:46.441262,38.34,102.061
2024-04-29 16:27:46.744970,38.37,102.07
2024-04-29 16:27:47.149825,38.4,102.074
2024-04-29 16:27:47.551892,38.43,102.074
2024-04-29 16:27:47.854608,38.45,102.075
2024-04-29 16:27:48.259913,38.47,102.074
2024-04-29 16:27:48.667015,38.49,102.072
2024-04-29 16:27:48.968154,38.5,102.07
2024-04-29 16:27:49.374336,38.51,102.063
2024-04-29 16:27:49.779968,38.52,102.061
2024-04-29 16:27:50.181425,38.53,102.055
2024-04-29 16:27:50.487666,38.53,102.05
2024-04-29 16:27:50.889613,38.53,102.045
2024-04-29 16:27:51.294839,38.54,102.038
2024-04-29 16:27:51.598060,38.53,102.032
2024-04-29 16:27:52.006555,38.53,102.025
2024-04-29 16:27:52.409023,38.52,102.02
2024-04-29 16:27:52.816853,38.5,102.01
2024-04-29 16:27:53.117297,38.5,102.003
2024-04-29 16:27:53.519461,38.48,101.997
2024-04-29 16:27:53.924763,38.47,101.988
2024-04-29 16:27:54.227153,38.45,101.98
2024-04-29 16:27:54.632591,38.44,101.972
2024-04-29 16:27:55.039291,38.42,101.964
2024-04-29 16:27:55.341637,38.4,101.955
2024-04-29 16:27:55.746821,38.38,101.945
2024-04-29 16:27:56.152208,38.36,101.932
2024-04-29 16:27:56.554105,38.33,101.925
2024-04-29 16:27:56.856764,38.31,101.916
2024-04-29 16:27:57.262887,38.28,101.906
2024-04-29 16:27:57.668079,38.26,101.896
2024-04-29 16:27:57.971193,38.23,101.888
2024-04-29 16:27:58.376342,38.19,101.876
2024-04-29 16:27:58.781602,38.18,101.863
2024-04-29 16:27:59.186971,38.15,101.862
2024-04-29 16:27:59.490727,38.13,101.851
2024-04-29 16:27:59.891776,38.11,101.839
2024-04-29 16:28:00.297791,38.09,101.833
2024-04-29 16:28:00.600164,38.07,101.827
2024-04-29 16:28:01.006478,38.06,101.817
2024-04-29 16:28:01.411360,38.05,101.81
2024-04-29 16:28:01.816808,38.04,101.805
2024-04-29 16:28:02.120357,38.03,101.8
2024-04-29 16:28:02.521814,38.02,101.793
2024-04-29 16:28:02.926747,38.01,101.789
2024-04-29 16:28:03.230212,38.02,101.784
2024-04-29 16:28:03.635359,38.01,101.779
2024-04-29 16:28:04.040776,38.01,101.776
2024-04-29 16:28:04.343689,38.01,101.777
2024-04-29 16:28:04.749806,38.01,101.77
2024-04-29 16:28:05.150564,38.02,101.768
2024-04-29 16:28:05.556248,38.01,101.768
2024-04-29 16:28:05.859651,38.02,101.767
2024-04-29 16:28:06.264988,38.02,101.763
2024-04-29 16:28:06.670728,38.02,101.764
