time,temperature,resistance
2024-04-29 13:49:58.082568,32.51,107.834
2024-04-29 13:49:58.483836,32.49,107.828
2024-04-29 13:49:58.790890,32.48,107.821
2024-04-29 13:49:59.193010,32.48,107.826
2024-04-29 13:49:59.598740,32.49,107.826
2024-04-29 13:50:00.005476,32.51,107.825
2024-04-29 13:50:00.306624,32.52,107.825
2024-04-29 13:50:00.712137,32.55,107.831
2024-04-29 13:50:01.118060,32.57,107.834
2024-04-29 13:50:01.421515,32.59,107.836
2024-04-29 13:50:01.826505,32.61,107.842
2024-04-29 13:50:02.231463,32.64,107.847
2024-04-29 13:50:02.637353,32.67,107.848
2024-04-29 13:50:02.940334,32.69,107.858
2024-04-29 13:50:03.342201,32.72,107.862
2024-04-29 13:50:03.747701,32.74,107.862
2024-04-29 13:50:04.050059,32.76,107.869
2024-04-29 13:50:04.455821,32.79,107.878
2024-04-29 13:50:04.861887,32.81,107.88
2024-04-29 13:50:05.164145,32.82,107.886
2024-04-29 13:50:05.569556,32.84,107.89
2024-04-29 13:50:05.975924,32.87,107.893
2024-04-29 13:50:06.380627,32.9,107.904
2024-04-29 13:50:06.683797,32.92,107.903
2024-04-29 13:50:07.089914,32.94,107.904
2024-04-29 13:50:07.495567,32.95,107.913
2024-04-29 13:50:07.798727,32.97,107.913
2024-04-29 13:50:08.203386,32.98,107.918
2024-04-29 13:50:08.604895,32.99,107.917
2024-04-29 13:50:08.912055,0.0,107.92
2024-04-29 13:50:09.313852,33.01,107.923
2024-04-29 13:50:09.718827,33.02,107.922
2024-04-29 13:50:10.124957,33.02,107.925
2024-04-29 13:50:10.427561,33.02,107.926
2024-04-29 13:50:10.833549,33.02,107.928
2024-04-29 13:50:11.239100,33.02,107.926
2024-04-29 13:50:11.541863,33.03,107.93
2024-04-29 13:50:11.947228,33.02,107.929
2024-04-29 13:50:12.353027,33.02,107.927
2024-04-29 13:50:12.758545,33.01,107.924
2024-04-29 13:50:13.061110,33.01,107.923
2024-04-29 13:50:13.466725,32.99,107.919
2024-04-29 13:50:13.868801,32.98,107.915
2024-04-29 13:50:14.174935,32.97,107.911
2024-04-29 13:50:14.576431,32.96,107.912
2024-04-29 13:50:14.982314,32.95,107.908
2024-04-29 13:50:15.388280,32.93,107.905
2024-04-29 13:50:15.690720,32.92,107.901
2024-04-29 13:50:16.096974,32.91,107.898
2024-04-29 13:50:16.502174,32.9,107.895
2024-04-29 13:50:16.804629,32.88,107.891
2024-04-29 13:50:17.210688,32.86,107.889
2024-04-29 13:50:17.616257,32.84,107.885
