time,temperature,resistance
2024-04-29 16:13:58.392245,31.95,101.423
2024-04-29 16:13:58.794003,31.95,101.42
2024-04-29 16:13:59.199881,31.98,101.42
2024-04-29 16:13:59.502362,32.02,101.424
2024-04-29 16:13:59.907711,32.09,101.427
2024-04-29 16:14:00.313092,32.16,101.432
2024-04-29 16:14:00.616057,32.2,101.441
2024-04-29 16:14:01.021998,32.28,101.448
2024-04-29 16:14:01.422961,32.33,101.457
2024-04-29 16:14:01.730308,0.0,101.463
2024-04-29 16:14:02.131586,32.42,101.469
2024-04-29 16:14:02.537962,32.45,101.476
2024-04-29 16:14:02.943050,32.47,101.477
2024-04-29 16:14:03.245860,32.48,101.485
2024-04-29 16:14:03.651186,32.5,101.486
2024-04-29 16:14:04.056538,32.51,101.49
2024-04-29 16:14:04.359749,32.51,101.49
2024-04-29 16:14:04.761558,32.53,101.491
2024-04-29 16:14:05.166729,32.53,101.49
2024-04-29 16:14:05.572152,32.54,101.492
2024-04-29 16:14:05.875599,32.54,101.49
2024-04-29 16:14:06.281570,32.55,101.493
2024-04-29 16:14:06.687007,32.55,101.492
2024-04-29 16:14:06.989666,32.56,101.491
2024-04-29 16:14:07.395182,32.56,101.492
2024-04-29 16:14:07.797458,32.55,101.492
2024-04-29 16:14:08.202576,32.56,101.489
2024-04-29 16:14:08.504879,32.56,101.486
2024-04-29 16:14:08.910867,32.55,101.486
2024-04-29 16:14:09.316262,32.55,101.485
2024-04-29 16:14:09.618753,32.54,101.483
2024-04-29 16:14:10.024648,32.54,101.481
2024-04-29 16:14:10.426597,32.54,101.481
2024-04-29 16:14:10.733328,32.53,101.48
2024-04-29 16:14:11.135421,32.53,101.478
2024-04-29 16:14:11.539773,32.52,101.476
2024-04-29 16:14:11.945814,32.51,101.473
2024-04-29 16:14:12.248964,32.51,101.471
2024-04-29 16:14:12.653537,32.5,101.468
2024-04-29 16:14:13.059616,32.49,101.467
2024-04-29 16:14:13.362967,32.49,101.466
2024-04-29 16:14:13.764533,32.48,101.464
2024-04-29 16:14:14.170056,32.47,101.461
2024-04-29 16:14:14.574545,32.46,101.46
2024-04-29 16:14:14.877968,32.46,101.458
2024-04-29 16:14:15.283427,32.45,101.457
2024-04-29 16:14:15.688702,32.44,101.455
2024-04-29 16:14:15.991671,32.42,101.451
2024-04-29 16:14:16.397014,32.42,101.45
2024-04-29 16:14:16.798559,32.4,101.45
2024-04-29 16:14:17.204455,32.39,101.446
2024-04-29 16:14:17.507299,32.38,101.446
2024-04-29 16:14:17.913155,32.37,101.444
2024-04-29 16:14:18.318194,32.35,101.444
2024-04-29 16:14:18.621102,32.35,101.438
2024-04-29 16:14:19.026760,32.33,101.438
2024-04-29 16:14:19.428279,32.32,101.436
2024-04-29 16:14:19.735307,32.31,101.435
2024-04-29 16:14:20.137053,32.3,101.431
2024-04-29 16:14:20.542682,32.29,101.431
2024-04-29 16:14:20.947802,32.27,101.429
2024-04-29 16:14:21.251438,32.27,101.429
2024-04-29 16:14:21.656952,32.24,101.427
2024-04-29 16:14:22.062170,32.24,101.424
2024-04-29 16:14:22.365126,32.22,101.422
2024-04-29 16:14:22.766871,32.21,101.423
2024-04-29 16:14:23.172460,32.2,101.421
2024-04-29 16:14:23.577332,32.19,101.418
2024-04-29 16:14:23.880764,32.18,101.417
2024-04-29 16:14:24.286428,32.17,101.415
2024-04-29 16:14:24.691526,32.16,101.414
2024-04-29 16:14:24.994885,32.15,101.412
2024-04-29 16:14:25.400573,32.13,101.412
2024-04-29 16:14:25.801354,32.12,101.411
2024-04-29 16:14:26.104782,32.11,101.41
2024-04-29 16:14:26.510699,32.1,101.408
2024-04-29 16:14:26.915785,32.09,101.406
2024-04-29 16:14:27.320932,32.08,101.406
2024-04-29 16:14:27.624469,32.07,101.406
2024-04-29 16:14:28.029682,32.06,101.404
2024-04-29 16:14:28.430775,32.05,101.404
2024-04-29 16:14:28.734062,32.04,101.402
2024-04-29 16:14:29.139929,32.04,101.401
2024-04-29 16:14:29.544535,32.04,101.4
2024-04-29 16:14:29.950866,32.03,101.402
2024-04-29 16:14:30.253654,32.03,101.401
